log,target,metric,n_cells,n_resolved,n_disagree_resolved
BPIC13_closed,handover,ap,216,0,0
BPIC13_closed,handover,auc,216,0,0
BPIC13_closed,handover,brier_skill,216,0,0
BPIC13_closed,handover,logloss_skill,216,0,0
BPIC13_closed,handover,nagelkerke,216,0,0
BPIC13_incidents,duration,ap,216,4,0
BPIC13_incidents,duration,auc,216,5,0
BPIC13_incidents,duration,brier_skill,216,1,0
BPIC13_incidents,duration,logloss_skill,216,1,0
BPIC13_incidents,duration,nagelkerke,216,1,0
BPIC13_incidents,handover,ap,216,17,0
BPIC13_incidents,handover,auc,216,14,0
BPIC13_incidents,handover,brier_skill,216,17,0
BPIC13_incidents,handover,logloss_skill,216,12,0
BPIC13_incidents,handover,nagelkerke,216,12,0
BPIC14,duration,ap,960,36,0
BPIC14,duration,auc,960,36,0
BPIC14,duration,brier_skill,960,36,0
BPIC14,duration,logloss_skill,960,36,0
BPIC14,duration,nagelkerke,960,36,0
BPIC14,handover,ap,960,29,0
BPIC14,handover,auc,960,34,0
BPIC14,handover,brier_skill,960,36,0
BPIC14,handover,logloss_skill,960,36,0
BPIC14,handover,nagelkerke,960,36,0
BPIC15_1,duration,ap,216,0,0
BPIC15_1,duration,auc,216,0,0
BPIC15_1,duration,brier_skill,216,0,0
BPIC15_1,duration,logloss_skill,216,0,0
BPIC15_1,duration,nagelkerke,216,0,0
BPIC15_1,handover,ap,216,0,0
BPIC15_1,handover,auc,216,0,0
BPIC15_1,handover,brier_skill,216,0,0
BPIC15_1,handover,logloss_skill,216,0,0
BPIC15_1,handover,nagelkerke,216,0,0
BPIC15_3,duration,ap,216,0,0
BPIC15_3,duration,auc,216,2,0
BPIC15_3,duration,brier_skill,216,0,0
BPIC15_3,duration,logloss_skill,216,0,0
BPIC15_3,duration,nagelkerke,216,0,0
BPIC15_3,handover,ap,216,0,0
BPIC15_3,handover,auc,216,0,0
BPIC15_3,handover,brier_skill,216,3,0
BPIC15_3,handover,logloss_skill,216,1,0
BPIC15_3,handover,nagelkerke,216,0,0
BPIC15_4,duration,ap,216,0,0
BPIC15_4,duration,auc,216,0,0
BPIC15_4,duration,brier_skill,216,0,0
BPIC15_4,duration,logloss_skill,216,0,0
BPIC15_4,duration,nagelkerke,216,0,0
BPIC15_4,handover,ap,216,0,0
BPIC15_4,handover,auc,216,0,0
BPIC15_4,handover,brier_skill,216,0,0
BPIC15_4,handover,logloss_skill,216,0,0
BPIC15_4,handover,nagelkerke,216,0,0
BPIC15_5,duration,ap,216,0,0
BPIC15_5,duration,auc,216,0,0
BPIC15_5,duration,brier_skill,216,0,0
BPIC15_5,duration,logloss_skill,216,0,0
BPIC15_5,duration,nagelkerke,216,0,0
BPIC17,duration,ap,216,0,0
BPIC17,duration,auc,216,0,0
BPIC17,duration,brier_skill,216,0,0
BPIC17,duration,logloss_skill,216,0,0
BPIC17,duration,nagelkerke,216,0,0
BPIC19,duration,ap,324,2,0
BPIC19,duration,auc,324,8,0
BPIC19,duration,brier_skill,324,25,25
BPIC19,duration,logloss_skill,324,25,25
BPIC19,duration,nagelkerke,324,21,21
Helpdesk,duration,ap,216,0,0
Helpdesk,duration,auc,216,0,0
Helpdesk,duration,brier_skill,216,2,0
Helpdesk,duration,logloss_skill,216,0,0
Helpdesk,duration,nagelkerke,216,0,0
RoadFines,duration,ap,324,23,0
RoadFines,duration,auc,324,23,0
RoadFines,duration,brier_skill,324,4,2
RoadFines,duration,logloss_skill,324,4,2
RoadFines,duration,nagelkerke,324,4,2
Sepsis,duration,ap,216,19,0
Sepsis,duration,auc,216,29,0
Sepsis,duration,brier_skill,216,18,0
Sepsis,duration,logloss_skill,216,18,0
Sepsis,duration,nagelkerke,216,18,0
UCI498,duration,ap,216,10,10
UCI498,duration,auc,216,4,4
UCI498,duration,brier_skill,216,0,0
UCI498,duration,logloss_skill,216,0,0
UCI498,duration,nagelkerke,216,0,0
UCI498,handover,ap,216,0,0
UCI498,handover,auc,216,0,0
UCI498,handover,brier_skill,216,0,0
UCI498,handover,logloss_skill,216,0,0
UCI498,handover,nagelkerke,216,0,0
