log,target,v_reference,reference_above_mpid,reference_resolved,n_auc_cells,n_auc_above_mpid,share_auc_above_mpid,n_disagree_auc,rate_auc,n_disagree_mpid,n_cells_mpid,rate_mpid,n_resolved_auc,n_disagree_resolved_auc,rate_resolved_auc,n_resolved_mpid,n_disagree_resolved_mpid,rate_resolved_mpid,n_full,n_disagree_full,rate_full,n_latitude_auc,n_disagree_latitude_auc,mad_resolved,mad_full,mad_all
BPIC13_closed,handover,-0.0090710629328516,False,False,216,140,0.6481481481481481,85,0.39351851851851855,0,0,,0,0,,0,0,,0,0,,6,2,,,0.021565572080813285
BPIC13_incidents,duration,0.027784583391845,True,False,216,167,0.7731481481481481,47,0.2175925925925926,27,167,0.16167664670658682,3,0,0.0,3,0,0.0,1,0,0.0,6,0,0.060109175328885524,0.07323546196342309,0.029100774077975875
BPIC13_incidents,handover,0.037250106092855,True,True,216,182,0.8425925925925926,18,0.08333333333333333,10,182,0.054945054945054944,12,0,0.0,12,0,0.0,3,0,0.0,6,0,0.058564124350842704,0.054160265456934066,0.03033178492838251
BPIC14,duration,0.0958803081752529,True,True,960,760,0.7916666666666666,84,0.0875,7,760,0.009210526315789473,77,0,0.0,77,0,0.0,13,0,0.0,16,2,0.020895734542952318,0.017372714297368558,0.04343563925982404
BPIC14,handover,0.1672715325675343,True,True,960,761,0.7927083333333333,224,0.23333333333333334,163,761,0.21419185282522996,54,0,0.0,54,0,0.0,11,0,0.0,16,3,0.06894495905197674,0.08390597134920218,0.11075226443079646
BPIC15_1,duration,0.0010951531649926,False,False,216,168,0.7777777777777778,83,0.38425925925925924,0,0,,0,0,,0,0,,0,0,,6,3,,,0.035430815378191934
BPIC15_1,handover,0.0070792418360356,False,False,216,106,0.49074074074074076,49,0.22685185185185186,0,0,,0,0,,0,0,,0,0,,6,0,,,0.02184591808682375
BPIC15_3,duration,0.0353795899977472,True,False,216,189,0.875,16,0.07407407407407407,9,189,0.047619047619047616,4,0,0.0,4,0,0.0,1,0,0.0,6,0,0.11272380300483467,0.08760982203198911,0.05256224133787694
BPIC15_3,handover,-0.0030352480417754,False,False,216,166,0.7685185185185185,160,0.7407407407407407,0,0,,0,0,,0,0,,0,0,,6,1,,,0.05390699199819701
BPIC15_4,duration,0.0347513653348663,True,False,216,160,0.7407407407407407,122,0.5648148148148148,90,160,0.5625,0,0,,0,0,,0,0,,6,3,,,0.04833099822084513
BPIC15_4,handover,0.0014772332290581,False,False,216,140,0.6481481481481481,153,0.7083333333333334,0,0,,0,0,,0,0,,0,0,,6,5,,,0.02479991152217869
BPIC15_5,duration,0.0319525904203322,True,False,216,187,0.8657407407407407,47,0.2175925925925926,33,187,0.17647058823529413,0,0,,0,0,,0,0,,6,1,,,0.030958680752232487
BPIC17,duration,0.0020866192318349,False,False,216,68,0.3148148148148148,50,0.23148148148148148,0,0,,7,0,0.0,0,0,,0,0,,6,0,0.021545589441344545,,0.009141794811024277
BPIC19,duration,0.0244227786104798,True,False,324,256,0.7901234567901234,57,0.17592592592592593,42,256,0.1640625,5,1,0.2,5,1,0.2,3,1,0.3333333333333333,9,3,0.036188667529910255,0.05255703143597499,0.05959688360336302
Helpdesk,duration,-0.0195227603319928,True,False,216,139,0.6435185185185185,81,0.375,45,139,0.3237410071942446,0,0,,0,0,,0,0,,6,0,,,0.018486278221644552
RoadFines,duration,0.0306235441798622,True,True,324,276,0.8518518518518519,13,0.040123456790123455,8,276,0.028985507246376812,17,0,0.0,16,0,0.0,6,0,0.0,9,0,0.012587549479857275,0.011597781896690681,0.014459200072498393
Sepsis,duration,0.1527346938775511,True,True,216,214,0.9907407407407407,0,0.0,0,214,0.0,14,0,0.0,14,0,0.0,4,0,0.0,6,0,0.042212675546408944,0.03669387755102028,0.03648629740612083
UCI498,duration,-0.0068683019845929,False,False,216,92,0.42592592592592593,132,0.6111111111111112,0,0,,4,4,1.0,0,0,,0,0,,6,4,0.0437500104080452,,0.02290945067818717
UCI498,handover,-0.0033327841374403,False,False,216,78,0.3611111111111111,117,0.5416666666666666,0,0,,0,0,,0,0,,0,0,,6,4,,,0.016664883331793025
