section,words
"Highlights",8
"Introduction",814
"Related work",393
"The specification surface",1338
"Estimation and inference",2581
"The registered benchmark design",1056
"Multi-log results",2688
"Case study: a configuration management database",1244
"Decision-analytic evaluation",679
"A reporting standard, and software",602
"Simulation against a known answer",1628
"Limitations",1969
"Conclusion",585
"CRediT authorship contribution statement",29
"Declaration of competing interest",54
"Funding",19
"Declaration of generative AI and AI-assisted technologies",309
"Data availability",187
"Code availability",58
