log,target,measure,n_cells,v_reference,misreport_all,n_cells_latitude,misreport_latitude,misreport_magnitude,n_resolved_nominal,n_disagree_nominal,misreport_resolved_nominal,n_resolved_latitude_nominal,n_disagree_latitude_nominal,misreport_resolved_latitude_nominal,n_resolved_calibrated,n_disagree_calibrated,misreport_resolved_calibrated,n_resolved_latitude_calibrated,n_disagree_latitude_calibrated,misreport_resolved_latitude_calibrated
BPIC13_closed,handover,equal-level,1080,-0.0090710629328516,0.28425925925925927,30,0.19999999999999998,0.11111336027200051,0,0,,0,0,,0,0,,0,0,
BPIC13_closed,handover,reference,1080,-0.0090710629328516,0.2565104166666667,30,0.265625,0.11366976103903043,0,0,,0,0,,0,0,,0,0,
BPIC13_closed,handover,concentrated,1080,-0.0090710629328516,0.17864666666666668,30,0.15799999999999995,0.07889517141803583,0,0,,0,0,,0,0,,0,0,
BPIC13_incidents,duration,equal-level,1080,0.027784583391845,0.39259259259259255,30,0.19999999999999998,0.8118414779980937,19,0,0.0,4,0,0.0,19,0,0.0,4,0,0.0
BPIC13_incidents,duration,reference,1080,0.027784583391845,0.24869791666666669,30,0.14062499999999997,0.6182792139052657,19,0,0.0,4,0,0.0,19,0,0.0,4,0,0.0
BPIC13_incidents,duration,concentrated,1080,0.027784583391845,0.08308666666666666,30,0.026999999999999986,0.14903287188631234,19,0,0.0,4,0,0.0,19,0,0.0,4,0,0.0
BPIC13_incidents,handover,equal-level,1080,0.037250106092855,0.11111111111111109,30,0.0,0.4817072649306556,86,0,0.0,18,0,0.0,86,0,0.0,18,0,0.0
BPIC13_incidents,handover,reference,1080,0.037250106092855,0.084375,30,0.0,0.2970111371491529,86,0,0.0,18,0,0.0,86,0,0.0,18,0,0.0
BPIC13_incidents,handover,concentrated,1080,0.037250106092855,0.10088000000000001,30,0.0,0.04700207862742135,86,0,0.0,18,0,0.0,86,0,0.0,18,0,0.0
BPIC14,duration,equal-level,4800,0.0958803081752529,0.10645833333333334,80,0.1125,0.017985584802967032,180,0,0.0,30,0,0.0,180,0,0.0,30,0,0.0
